area_id,node,factor
111,135,0.11410000000000001
111,136,0.1902
111,137,0.0761
111,142,0.0761
111,143,0.22280000000000003
111,144,0.09240000000000001
112,26,0.5
112,29,0.5
113,108,0.6667000000000001
113,113,0.16670000000000001
113,114,0.1666
114,24,1.0
115,246,1.0
116,241,0.0795
116,242,0.9205
117,246,1.0
118,26,0.5
118,29,0.5
119,260,0.1072
119,262,0.126
119,264,0.09380000000000001
119,266,0.1099
119,268,0.0188
119,269,0.0751
119,271,0.0375
119,280,0.0188
119,282,0.1072
119,284,0.1448
119,286,0.16090000000000002
120,23,0.2523
120,24,0.3063
120,241,0.4414
121,301,0.0070999999999999995
121,302,0.0070999999999999995
121,304,0.0070999999999999995
121,305,0.0191
121,306,0.0191
121,316,0.08380000000000001
121,317,0.0391
121,318,0.0391
121,319,0.0391
121,320,0.0581
121,321,0.0391
121,326,0.125
121,350,0.08380000000000001
121,351,0.0725
121,352,0.21309999999999998
121,354,0.0739
121,355,0.0739
122,320,0.7651000000000001
122,350,0.2349
123,352,0.5
123,353,0.5
124,314,1.0
125,298,0.1
125,299,0.1
125,301,0.1
125,302,0.1
125,304,0.1
125,311,0.15
125,312,0.15
125,314,0.05
125,315,0.05
125,318,0.05
125,326,0.05
126,318,1.0
127,317,1.0
128,70,1.0
129,45,0.4
129,201,0.15
129,205,0.15
129,223,0.3
130,201,0.6102000000000001
130,202,0.322
130,206,0.0226
130,222,0.0226
130,223,0.0226
131,222,0.5212
131,226,0.47880000000000006
132,72,0.0894
132,73,0.11170000000000001
132,74,0.11170000000000001
132,75,0.0559
132,182,0.2238
132,183,0.1173
132,187,0.2232
132,192,0.067
133,45,0.2804
133,215,0.0602
133,216,0.0602
133,222,0.3188
133,223,0.2804
134,38,0.12560000000000002
134,204,0.039900000000000005
134,205,0.3617
134,215,0.0398
134,216,0.12560000000000002
134,222,0.18170000000000003
134,224,0.12560000000000002
135,39,0.5
135,42,0.5
136,38,0.25
136,216,0.25
136,226,0.25
136,232,0.25
137,77,0.0625
137,78,0.0625
137,79,0.0625
137,80,0.0625
137,81,0.0625
137,82,0.0625
137,84,0.0625
137,85,0.0625
137,86,0.0625
137,91,0.0625
137,92,0.0625
137,93,0.0625
137,196,0.0625
137,197,0.0625
137,198,0.0625
137,212,0.0625
138,98,0.2143
138,100,0.2143
138,232,0.5714
139,98,1.0
140,38,0.125
140,39,0.125
140,40,0.125
140,41,0.125
140,42,0.125
140,43,0.125
140,44,0.125
140,45,0.125
141,45,0.251
141,46,0.37450000000000006
141,47,0.37450000000000006
142,222,0.5
142,226,0.5
143,9,0.1495
143,10,0.1993
143,11,0.21710000000000002
143,12,0.2846
143,13,0.1495
144,316,1.0
145,316,1.0
146,337,1.0
147,334,0.33340000000000003
147,335,0.3333
147,337,0.3333
148,332,1.0
149,20,0.5
149,21,0.5
150,22,1.0
151,241,1.0
152,274,1.0
153,241,0.166
153,242,0.166
153,246,0.167
153,278,0.167
153,276,0.167
153,274,0.167
154,274,1.0
155,18,1.0
156,1,0.5
156,3,0.5
157,13,1.0
158,326,1.0
159,326,1.0
160,320,1.0
161,320,1.0
162,319,1.0
163,319,1.0
164,310,0.5
164,311,0.5
165,201,1.0
166,206,1.0
167,223,1.0
168,223,1.0
